symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
SYY,SP500,2026-08-31,81.08000183105469,ENTRY,3,UTAD,Bearish Zhongshu,Distribution,Bear Micro BOS,SHORT,82.91,84.76,81.08,85.72,80.43,67.16,Sysco,Consumer Staples,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
CBRE,SP500,2026-08-31,145.80999755859375,ENTRY,3,3S,Bull Trend,Neutral,Bear Micro BOS,SHORT,150.03,153.08,145.81,151.86,133.7,127.65,CBRE Group,Real Estate,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
FRT,SP500,2026-08-31,116.02999877929688,ENTRY,3,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,116.95,119.27,116.03,117.21,113.66,112.48,Federal Realty Investment Trust,Real Estate,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
LVS,SP500,2026-08-31,43.810001373291016,ENTRY,3,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,45.06,46.48,43.81,45.55,40.33,38.59,Las Vegas Sands,Consumer Discretionary,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
PAYX,SP500,2026-08-31,127.33999633789062,ENTRY,3,3B,Bull Trend,Neutral,Bull Micro BOS,LONG,121.73,124.74,127.34,124.62,132.78,135.5,Paychex,Industrials,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
SBAC,SP500,2026-08-31,189.66000366210938,ENTRY,3,3B,Bull Trend,Neutral,Bull Micro BOS,LONG,178.82,186.91,189.66,186.4,196.17,199.43,SBA Communications,Real Estate,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
AIZ,SP500,2026-08-31,281.8599853515625,ENTRY,3,2S,Neutral Zhongshu,Neutral,Bear Micro BOS,SHORT,278.59,284.12,281.86,291.01,263.56,254.41,Assurant,Financials,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
CFG,SP500,2026-08-31,68.87000274658203,ENTRY,3,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,70.12,71.0,68.87,71.35,63.91,61.42,Citizens Financial Group,Financials,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
CTVA,SP500,2026-08-31,84.62999725341797,ENTRY,3,2B,Bear Trend,Neutral,Bull Micro BOS,LONG,82.98,84.13,84.63,80.66,92.57,96.54,Corteva,Materials,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
EIX,SP500,2026-08-31,53.97999954223633,ENTRY,3,2S,Bearish Zhongshu,Distrib Watch,Bear Micro BOS,SHORT,72.65,75.9,53.98,76.83,8.28,-14.57,Edison International,Utilities,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
