symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version
APO,SP500,2026-09-14,128.30999755859375,ENTRY,3,3S,Bear Trend,Neutral,Bear Micro BOS,SHORT,129.95,137.83,128.31,131.18,122.57,119.71,Apollo Global Management,Financials,,1.8.5-source-port
CNP,SP500,2026-09-14,38.650001525878906,ENTRY,3,3S,Bear Trend,Neutral,Bear Micro BOS,SHORT,39.56,40.36,38.65,39.63,36.69,35.72,CenterPoint Energy,Utilities,,1.8.5-source-port
LNT,SP500,2026-09-14,66.91999816894531,ENTRY,3,3S,Bear Trend,Neutral,Bear Micro BOS,SHORT,67.68,71.46,66.92,68.06,64.65,63.51,Alliant Energy,Utilities,,1.8.5-source-port
PEG,SP500,2026-09-14,70.91999816894531,ENTRY,3,3S,Bear Trend,Neutral,Bear Micro BOS,SHORT,72.74,73.99,70.92,73.07,66.63,64.48,Public Service Enterprise Group,Utilities,,1.8.5-source-port
BAC,SP500,2026-09-14,59.470001220703125,ENTRY,3,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,61.43,63.23,59.47,63.56,51.29,47.21,Bank of America,Financials,,1.8.5-source-port
BBY,SP500,2026-09-14,94.83000183105469,ENTRY,3,2B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,83.45,87.35,94.83,85.58,113.34,122.59,Best Buy,Consumer Discretionary,,1.8.5-source-port
DVA,SP500,2026-09-14,189.32000732421875,ENTRY,3,2B,Bear Trend,Neutral,Bull Micro BOS,LONG,225.17,239.64,189.32,175.2,217.55,231.67,DaVita,Health Care,,1.8.5-source-port
EQIX,SP500,2026-09-14,998.719970703125,ENTRY,3,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,1027.94,1049.53,998.72,1062.67,870.81,806.86,Equinix,Real Estate,,1.8.5-source-port
MPWR,SP500,2026-09-14,1143.239990234375,ENTRY,3,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,1402.86,1406.04,1143.24,1256.28,917.15,804.11,Monolithic Power Systems,Information Technology,,1.8.5-source-port
MS,SP500,2026-09-14,206.5800018310547,ENTRY,3,2S,Bear Trend,Neutral,Bear Micro BOS,SHORT,213.52,217.96,206.58,219.98,179.77,166.37,Morgan Stanley,Financials,,1.8.5-source-port
